Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,"$1,976.93","$2,152.45","$1,960.68","$2,143.23","$34,862,511,022","$247,132,282,844"
01/04/2021,"$1,919.16","$1,989.06","$1,912.18","$1,977.28","$30,914,259,795","$227,970,125,751"
31/03/2021,"$1,846.10","$1,947.84","$1,793.00","$1,918.36","$30,226,902,621","$221,151,811,159"
30/03/2021,"$1,819.47","$1,860.97","$1,793.92","$1,846.03","$22,512,781,703","$212,788,788,571"
29/03/2021,"$1,691.26","$1,837.19","$1,683.72","$1,819.68","$22,796,570,548","$209,726,738,382"
28/03/2021,"$1,716.41","$1,728.58","$1,672.66","$1,691.36","$16,599,472,938","$194,913,443,083"
27/03/2021,"$1,703.04","$1,732.82","$1,674.32","$1,716.49","$18,102,277,710","$197,787,142,643"
26/03/2021,"$1,595.21","$1,702.92","$1,594.74","$1,702.84","$22,548,516,548","$196,191,139,867"
25/03/2021,"$1,593.12","$1,625.91","$1,560.37","$1,595.36","$29,650,328,701","$183,786,054,252"
24/03/2021,"$1,678.00","$1,740.43","$1,570.79","$1,593.41","$31,228,051,473","$183,540,070,277"
23/03/2021,"$1,690.87","$1,725.11","$1,662.54","$1,678.65","$21,998,237,965","$193,335,618,291"
22/03/2021,"$1,788.36","$1,811.97","$1,674.30","$1,691.33","$23,599,296,129","$194,773,638,866"
21/03/2021,"$1,812.61","$1,823.35","$1,764.14","$1,788.22","$22,977,404,620","$205,906,557,856"
20/03/2021,"$1,817.52","$1,874.71","$1,811.73","$1,812.63","$22,677,674,970","$208,693,780,293"
19/03/2021,"$1,782.57","$1,841.20","$1,746.47","$1,817.62","$21,249,297,710","$209,243,467,429"
18/03/2021,"$1,823.16","$1,848.65","$1,705.72","$1,782.86","$23,263,845,504","$205,216,840,694"
17/03/2021,"$1,807.06","$1,839.82","$1,749.18","$1,823.45","$24,512,917,348","$209,864,815,743"
16/03/2021,"$1,792.41","$1,817.06","$1,720.05","$1,806.97","$23,828,509,590","$207,943,962,562"
15/03/2021,"$1,854.09","$1,889.20","$1,749.61","$1,791.70","$26,244,738,810","$206,162,475,256"
14/03/2021,"$1,923.86","$1,930.78","$1,845.12","$1,854.56","$19,344,589,211","$213,370,626,930"
13/03/2021,"$1,772.17","$1,937.65","$1,733.64","$1,924.69","$25,014,689,475","$221,411,849,363"
12/03/2021,"$1,826.55","$1,839.50","$1,728.98","$1,772.10","$22,435,821,312","$203,835,039,480"
11/03/2021,"$1,798.03","$1,843.82","$1,734.62","$1,826.19","$24,013,132,909","$210,032,453,964"
10/03/2021,"$1,868.49","$1,873.80","$1,766.49","$1,799.17","$25,154,173,185","$206,899,711,010"
09/03/2021,"$1,835.15","$1,868.05","$1,804.27","$1,868.05","$23,461,244,507","$214,795,762,868"
08/03/2021,"$1,724.23","$1,835.19","$1,670.94","$1,834.73","$27,630,991,158","$210,939,589,076"
07/03/2021,"$1,655.39","$1,730.92","$1,636.56","$1,723.15","$23,809,935,410","$198,088,541,070"
06/03/2021,"$1,532.37","$1,669.11","$1,519.14","$1,654.74","$22,746,262,366","$190,201,808,027"
05/03/2021,"$1,541.54","$1,547.88","$1,450.89","$1,533.27","$21,067,146,937","$176,219,185,802"
04/03/2021,"$1,574.62","$1,622.95","$1,511.10","$1,541.91","$22,906,118,718","$177,191,062,441"
03/03/2021,"$1,491.45","$1,650.36","$1,481.91","$1,575.85","$22,674,780,680","$181,069,778,316"
02/03/2021,"$1,564.06","$1,597.61","$1,461.33","$1,492.61","$22,523,669,722","$171,484,736,319"
01/03/2021,"$1,417.15","$1,567.69","$1,416.42","$1,564.71","$24,032,838,645","$179,746,905,786"
28/02/2021,"$1,459.86","$1,468.39","$1,300.47","$1,416.05","$27,637,026,080","$162,650,415,374"
27/02/2021,"$1,446.93","$1,524.93","$1,433.79","$1,459.97","$20,742,103,233","$167,675,937,684"
26/02/2021,"$1,478.65","$1,559.03","$1,407.98","$1,446.03","$31,435,997,881","$166,055,498,546"
25/02/2021,"$1,625.39","$1,670.22","$1,465.06","$1,475.70","$24,481,681,873","$169,442,679,395"
24/02/2021,"$1,571.48","$1,710.98","$1,511.02","$1,626.58","$31,329,000,537","$186,743,952,486"
23/02/2021,"$1,781.41","$1,781.41","$1,378.84","$1,570.20","$52,029,864,713","$180,251,030,148"
22/02/2021,"$1,935.56","$1,936.45","$1,580.63","$1,781.99","$42,409,646,036","$204,538,978,050"
21/02/2021,"$1,918.67","$1,974.26","$1,890.37","$1,935.60","$23,626,547,717","$222,144,116,574"
20/02/2021,"$1,959.90","$2,036.29","$1,830.53","$1,919.53","$34,696,091,102","$220,274,162,486"
19/02/2021,"$1,938.86","$1,969.55","$1,896.68","$1,960.16","$26,268,814,253","$224,910,293,534"
18/02/2021,"$1,848.21","$1,949.90","$1,848.21","$1,937.45","$28,255,902,969","$222,277,377,811"
